,age,anger,blank,contempt,disgust,fear,gender,happiness,overall,q1,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23,q24,q25,q26,q27,q3,q4,q5,q6,q7,q8,q9,sadness,surprise
0,51,100, ,90,80,100,0,100,88.57142857142858,3,6,2,5,3,4,6,2,6,1,2,5,2,6,5,5,5,6,6,5,4,6,5,5,3,4,4,80,70
1,35,90, ,80,30,50,0,100,75.71428571428571,4,2,6,2,2,6,7,2,5,3,7,6,5,7,6,6,6,7,6,6,2,7,3,7,3,5,4,90,90
2,44,80, ,100,30,80,1,100,80.0,3,7,6,3,3,4,2,5,5,2,3,6,2,6,5,6,6,7,6,5,1,7,2,6,4,1,3,80,90
3,23,90, ,90,50,90,1,90,80.0,5,4,5,3,4,5,5,6,3,5,5,5,5,6,5,5,6,6,6,6,2,2,2,6,4,4,4,90,60
4,27,80, ,60,30,100,1,90,74.28571428571429,1,5,5,2,2,4,6,2,5,2,3,3,2,5,6,6,5,6,7,5,4,3,5,4,3,3,4,60,100
5,21,100, ,40,90,70,1,100,68.5714285714286,7,4,7,2,2,5,4,2,5,2,6,7,6,7,6,6,6,6,7,5,2,7,2,6,2,5,5,30,50
6,24,50, ,70,0,40,0,100,54.28571428571429,4,3,4,2,3,5,6,2,5,3,4,5,4,5,4,3,3,5,5,4,2,5,5,4,5,3,6,20,100
7,22,40, ,50,40,20,0,100,51.428571428571395,5,3,4,3,2,5,6,2,5,5,5,4,5,6,4,5,5,6,6,6,3,6,3,5,2,5,2,30,80
8,47,30, ,30,30,50,0,70,40.0,6,4,4,4,4,4,5,3,5,5,3,5,2,3,5,4,2,5,5,3,3,6,5,5,4,3,4,20,50
9,34,100, ,70,0,10,0,60,54.28571428571429,5,2,4,5,3,5,6,3,7,4,7,7,7,5,6,4,3,6,7,4,1,5,2,4,3,2,3,50,90
10,22,90, ,40,100,50,0,100,80.0,5,4,4,3,3,4,5,3,4,2,3,6,4,4,3,4,4,5,5,4,4,6,2,5,4,3,4,80,100
11,25,60, ,100,90,80,0,100,78.5714285714286,5,6,7,2,4,5,4,5,2,6,4,3,4,5,2,6,3,6,4,6,5,4,3,5,4,4,5,20,100
12,24,10, ,70,90,60,0,100,67.14285714285711,5,4,7,2,4,7,6,6,5,7,5,5,5,6,6,5,5,6,7,7,3,4,5,6,4,4,6,40,100
13,25,100, ,100,70,50,0,100,85.71428571428571,5,4,7,1,2,6,6,2,5,1,5,4,2,5,5,5,4,6,7,5,2,5,1,6,2,3,4,80,100
14,26,90, ,60,90,40,0,100,78.5714285714286,6,2,7,1,2,6,7,2,6,6,4,6,3,6,6,6,6,6,6,6,2,6,3,6,7,3,5,70,100
15,23,90, ,90,80,60,0,90,81.4285714285714,7,3,5,3,2,6,5, ,5,3,2,5,6,5,5,4,6,6,3,5,4,5,2,6,4,3,4,80,80
16,22,60, ,70,70,10,0,100,65.71428571428571,7,4,6,2,2,6,6,1,4,2,4,7,2,7,5,5,6,7,7,7,2,6,2,6,4,4,5,60,90
17,46,80, ,100,80,40,0,100,80.0,6,3,3,2,3,5,6,2,6,2,4,6,2,6,5,3,5,7,6,5,2,6,2,6,4,3,5,60,100
18,35,90, ,90,90,60,0,100,81.4285714285714,6,4,5,1,2,5,5,4,4,5,4,6,5,6,7,6,6,6,7,6,2,4,3,6,2,5,4,40,100
19,50,40, ,10,70,60,0,100,58.571428571428605,5,2,5,3,3,5,5,5,4,3,2,5,5,5,5,55,5,5,4,5,4,3,3,6,3,2,5,60,70
20,22,80, ,50,80,60,0,100,77.1428571428571,6,4,6,1,2,6,6,3,6,6,5,6,3,6,6,6,6,7,6,7,3,6,6,5,3,5,5,70,100
21,20,90, ,100,100,90,0,100,95.7142857142857,5,4,6,1,1,4,7,2,6,4,4,4,2,6,5,5,6,6,6,5,3,4,6,4,5,2,4,90,100
22,32,60, ,70,70,100,0,100,78.5714285714286,6,3,7,1,6,3,6,7,5,4,5,5,6,7,7,5,6,7,5,6,5,4,2,3,3,5,6,60,90
23,37,80, ,100,80,40,0,100,80.0,4,3,5,3,3,4,5,2,4,2,5,6,2,5,5,4,4,6,6,5,2,6,3,6,3,5,6,60,100
24,25,90, ,90,90,60,0,100,81.4285714285714,5,1,6,1,1,7,6,4,6,3,5,6,2,7,7,6,6,6,7,7,1,6,4,6,5,2,3,40,100
25,22,40, ,10,70,60,0,100,58.571428571428605,6,1,5,2,2,6,6,5,6,2,6,7,2,5,4,5,5,5,5,4,2,6,1,6,3,6,6,60,70
26,42,80, ,50,80,60,1,100,77.1428571428571,4,4,5,2,2,4,5,4,5,2,4,5,3,5,5,5,6,7,6,4,2,5,2,5,4,2,5,70,100
27,24,90, ,100,100,90,0,100,95.7142857142857,7,3,6,2,3,6,7,2,6,3,4,7,4,6,4,4,4,6,7,5,2,6,2,6,2,4,4,90,100
28,19,70, ,50,60,100,0,90,71.4285714285714,4,3,5,2,3,4,5,2,4,3,3,4,2,5,5,5,5,6,6,5,2,3,4,3,4,2,3,60,70
29,19,20, ,50,30,60,0,70,58.571428571428605,5,3,5,2,2,4,5,2,5,4,4,5,4,5,4,4,5,5,5,5,2,5,2,4,5,2,2,80,100
30,52,40, ,30,100,30,0,100,60.0,5,2,5,2,2,6,5,2,6,1,4,6,3,6,6,6,4,7,5,6,3,5,2,5,5,2,6,30,90
31,22,80, ,60,30,40,0,90,67.14285714285711,6,4,6,1,6,6,7,3,4,2,2,6,1,6,7,5,4,6,5,5,2,7,5,6,6,3,5,70,100
32,33,30, ,60,70,80,0,90,67.14285714285711,6,3,5,2,2,5,5,4,4,3,3,7,3,5,5,5,5,6,5,5,3,5,2,6,4,4,5,50,90
33,23,70, ,0,30,0,0,100,48.571428571428605,2,5,6,2,4,5,6,6,4,2,5,3,5,6,6,5,5,5,5,4,4,3,4,3,2,5,3,50,90
34,23,0, ,100,30,40,1,90,52.8571428571429,6,2,7,1,2,6,7,3,5,2,6,5,5,6,6,6,5,6,6,6,4,3,2,4,5,3,6,10,100
35,20,60, ,70,50,40,0,100,67.14285714285711,3,3,5,5,2,4,6,4,5,5,4,5,6,7,7,7,7,7,7,7,1,4,4,4,5,5,3,50,100
36,20,50, ,70,50,30,0,90,64.28571428571429,2,4,6,2,4,5,7,2,6,3,4,4,6,5,5,5,6,6,5,5,3,5,4,3,6,2,4,60,100
37,22,80, ,90,80,60,0,100,85.71428571428571,7,2,6,1,2,6,7,4,6,2,3,7,3,7,7,6,7,7,7,7,2,6,2,6,3,7,6,90,100
38,41,50, ,20,70,80,1,100,57.1428571428571,5,3,4,3,4,4,5,3,4,1,4,5,5,6,5,5,6,6,5,5,5,4,4,6,2,5,5,30,50
39,23,10, ,0,30,40,1,100,42.8571428571429,5,4,4,5,5,3,5,3,3,5,3,7,2,6,3,6,4,7,6,3,4,4,5,6,6,4,7,20,100
40,25,70, ,60,90,70,0,100,74.28571428571429,2,2,3,2,2,5,6,4,6,5,3,3,6,6,5,3,6,6,6,5,2,4,6,3,2,5,6,60,70
41,23,50, ,0,90,60,0,100,55.71428571428571,3,5,6,2,4,5,5,2,3,6,2,4,2,6,6,7,3,7,3,5,5,5,6,3,4,2,5,10,80
42,30,40, ,10,30,50,0,100,57.1428571428571,4,4,6,1,3,5,6,5,5,4,5,5,4,6,3,5,6,7,3,7,5,6,3,6,5,3,5,70,100
43,31,70, ,80,80,50,0,90,65.71428571428571,7,5,6,2,2,6,7,2,5,2,6,4,5,4,4,3,6,7,5,5,2,3,1,4,4,3,3,20,70
44,21,50, ,20,80,100,1,100,62.8571428571429,6,2,5,2,3,5,4,2,5,3,2,5,1,7,6,5,7,7,7,5,4,3,3,4,3,6,6,30,60
45,28,60, ,90,50,80,0,100,81.4285714285714,7,6,6,2,2,6,5,3,4,2,4,5,3,5,5,4,4,7,7,4,3,5,2,5,6,3,5,90,100
46,29,80, ,80,100,70,0,100,82.8571428571429,6,4,6,2,2,6,6,2,5,2,4,6,2,7,6,4,6,6,5,5,2,5,2,5,6,2,4,70,80
47,29,70, ,0,50,80,1,100,62.8571428571429,5,2,6,3,2,6,7,3,5,1,5,3,4,6,6,5,4,7,6,4,3,5,4,5,6,2,5,60,80
48,33,50, ,50,0,10,0,100,44.28571428571429,6,3,5,2,2,6,5,3,5,2,5,7,5,6,6,6,6,6,6,6,2,6,2,7,6,2,5,10,90
49,22,100, ,100,90,80,1,100,91.42857142857142,5,4,5,2,2,5,5,2,5,6,3,6,2,6,6,5,6,6,5,6,2,5,2,4,7,1,4,70,100
50, ,50, ,10,50,50,0,90,54.28571428571429,5,3,6,2,3,5,6,4,6,2,5,7,4,4,5,3,5,6,4,6,5,5,4,6,5,2,4,50,80
51, ,60, ,0,40,50,0,100,58.571428571428605,5,7,2,2,4,7,1,6,3,4,7,5,7,7,5,7,7,7,7, ,1,4,6,3,4,6,5,60,100
52, ,60, ,20,80,40,0,100,64.28571428571429,6,3,5,3,2,6,6,6,4,2,4,5,7,6,5,5,6,6,4,5,5,4,4,5,3,4,6,50,100
53, ,70, ,90,60,60,0,100,81.4285714285714,3,5,4,2,6,5,6,1,5,2,4,4,5,7,4,5,7,6,5,7,5,5,4,4,3,4,4,90,100
54, ,60, ,90,80,10,0,90,70.0,4,4,5,5,5,6,6,3,6,2,3,7,6,5,5,5,5,6,5,6,5,5,5,6,4,5,5,60,100
55, ,80, ,0,90,60,0,100,71.4285714285714,6,6,5,2,2,6,6,1,6,2,5,6,5,5,5,5,6,7,6,7,2,5,2,5,6,3,4,70,100
56, ,100, ,80,70,30,1,100,78.5714285714286,2,5,2,2,6,6,2,7,2,4,5,3,6,3,5,6,5,5,6, ,3,6,4,6,3,5,2,80,90
57, ,30, ,90,100,10,0,90,64.28571428571429,5,3,6,2,3,6,7,2,7,2,4,6,2,7,6,7,7,7,6,7,1,7,4,6,7,1,6,30,100
58, ,70, ,10,70,40,0,100,67.14285714285711,4,4,4,4,3,3,3,3,2,4,2,5,3,4,3,3,4,6,5,6,4,6,6,4,3,4,2,80,100
59, ,100, ,80,100,50,0,100,84.28571428571429,5,5,5,3,3,5,7,3,5,3,5,6,2,3,3,3,6,6,6,6,4,5,4,5,5,3,4,60,100
60, ,70, ,20,50,70,0,100,68.5714285714286,4,2,5,2,2,6,7,3,5,3,4,4,6,7,4,4,6,6,6,5,4,5,4,4,3,2,6,80,90
61, ,100, ,90,80,70,0,90,90.0,7,2,6,2,2,6,6,2,6,2,3,4,2,7,5,4,4,7,7,5,3,6,2,6,7,3,5,100,100
62, ,30, ,30,10,40,1,30,27.142857142857103,1,3,2,1,2,3,4,5,6,7,6,2,5,4,3,2,3,4,5, ,4,5,6,7,6,5,4,30,20
63, ,50, ,30,30,90,0,100,68.5714285714286,6,5,5,4,3,5,4,3,6,2,5,7,7,5,4,4,4,5,4,5,3,4,2,4,4,4,2,90,90
64, ,20, ,80,60,40,0,100,54.28571428571429,5,5,7,1,1,7,7,4,6,4,5,7,6,6,6,6,6,7,4,4,3,6,4,4,6,4,5,20,60
65, ,20, ,30,60,20,1,90,42.8571428571429,4,5,5,3,4,5,3,5,3,5,6,3,6,6,2,4,6,6,5,5,5,3,4,5,5,3,3,20,60
66, ,70, ,70,40,30,0,100,57.1428571428571,5,6,6,3,6,5,5,4,5,3,5,6,5,5,6,6,6,6,6,4,4,5,6,4,5,3,2,10,80
67, ,70, ,40,40,90,0,100,68.5714285714286,6,2,7,2,2,6,6,1,2,6,3,6,6,3,3,3,3,3,3,3,1,6,3,6,2,2,2,50,90
68, ,50, ,50,10,80,0,100,70.0,4,4,4,1,4,4,6,2,3,3,3,6,1,3,2,2,3,3,3,3,3,4,3,6,3,3,2,100,100
69, ,50, ,90,70,70,0,100,77.1428571428571,3,7,6,2,3,7,7,2,5,6,3,2,6,5,6,6,1,7,2,4,7,7,5,6,1,7,5,60,100
70, ,30, ,80,50,70,1,70,57.1428571428571,5,5,7,3,2,5,7,7,7,5,6,6,6,7,5,7,6,7,7,7,6,3,6,7,3,5,1,10,90
71, ,80, ,80,50,20,0,90,70.0,6,2,6,1,7,6,7,2,6,6,7,6,1,7,3,6,6,7,7,5,2,7,4,6,7,2,3,70,100
72, ,50, ,40,0,80,1,100,62.8571428571429,4,2,5,2,3,4,4,1,4,3,2,1,4,5,4,4,6,6,6,7,4,2,4,3,5,4,6,70,100
73, ,70, ,70,100,90,1,100,84.28571428571429,2,3,4,3,2,5,4,3,4,6,3,5,5,4,4,4,6,5,5,5,2,6,5,4,5,5,5,60,100
74, ,50, ,70,30,80,1,100,71.4285714285714,3,4,6,2,6,6,5,2,4,5,3,5,2,6,5,5,5,5,6,5,2,4,4,3,6,2,5,70,100
75, ,100, ,100,70,60,0,100,88.57142857142858,7,3,3,3,3,6,7,4,6,2,5,7,3,6,6,6,5,6,6,6,2,6,2,6,6,4,5,90,100
76, ,10, ,0,90,60,1,100,51.428571428571395,6,1,7,1,6,6,5,4,6,2,6,6,3,7,7,6,6,7,7,7,1,6,2,6,7,2,7,10,90
77, ,60, ,40,100,80,1,90,75.71428571428571,3,3,6,2,5,4,5,5,4,4,3,6,4,7,6,5,6,7,4,6,2,6,4,5,2,4,5,60,100
78, ,60, ,100,50,70,1,100,78.5714285714286,6,3,5,2,1,7,5,1,7,3,6,7,6,5,4,4,4,5,5,4,2,6,2,7,6,3,5,70,100
79, ,70, ,100,40,90,0,90,82.8571428571429,2,3,5,6,6,6,6,7,2,4,4,4,5,6,6,7,7,3,6, ,5,4,7,5,5,4,3,90,100
80, ,30, ,90,80,50,0,100,72.8571428571429,6,2,6,1,3,5,6,3,2,2,4,6,1,6,5,6,7,7,7,7,3,6,2,4,5,2,4,60,100
